Month,state,median_listing_price,active_listing_count,new_listing_count,price_increased_count,average_listing_price,total_listing_count
20-Dec,north carolina,339700,19505,8088,1236,479349.0192,40379
20-Dec,idaho,429900,2246,1316,160,839598.2854,6288
20-Dec,nevada,349999,8290,3280,332,619838.2045,9915
20-Dec,oklahoma,219949.5,7642,2720,204,314251.5774,14410
20-Dec,west virginia,165000,3976,872,80,246569.6194,6311
20-Dec,delaware,349000,1874,664,200,469107.3074,4702
20-Dec,maine,295000,3650,876,44,446567.1565,4777
20-Dec,louisiana,249999.5,10239,2940,180,355124.9605,16909
20-Nov,new hampshire,375400,2251,1384,76,518919.8756,4549
20-Nov,florida,345000,97409,33904,4768,735922.3933,167743
20-Nov,michigan,239900,19552,8964,396,356782.2038,32533
20-Nov,new york,570000,67496,14612,720,1210139.603,112157
20-Nov,minnesota,295450,12539,4844,312,393978.375,23117
20-Nov,arkansas,200000,7212,2444,128,293102.8139,11399
20-Nov,maryland,349450,9229,5760,504,503028.0039,23356
20-Nov,new jersey,442450,27549,11656,472,653812.5764,41418
20-Nov,wisconsin,253450,11033,4076,136,349566.3058,19053
20-Nov,north dakota,239950,2520,584,24,278820.3852,3545
20-Nov,vermont,325000,2164,556,24,509494.1532,3520
20-Nov,mississippi,225500,6044,1716,160,298645.6444,9808
20-Nov,indiana,209950,10212,5264,180,285124.9034,17702
20-Nov,new mexico,280000,4897,1584,80,446693.0364,8475
20-Nov,california,727044,51254,29708,1532,1536489.149,107966
20-Nov,maine,295000,4157,1364,48,449086.3315,5527
20-Nov,delaware,349900,2044,912,236,473880.9834,5275
20-Nov,south dakota,240400,2191,584,4,317943.1383,2984
20-Nov,wyoming,267250,2113,548,8,602899.1141,3060
20-Nov,iowa,214900,9663,2984,416,253968.3475,16660
20-Nov,nebraska,241950,3635,1472,96,305517.9201,7818
20-Nov,kentucky,225000,7447,3244,164,319632.2962,15947
20-Nov,arizona,389750,11207,7988,840,655575.9867,29049
20-Nov,hawaii,641000,6540,1572,52,1228379.776,7755
20-Nov,illinois,249450,38882,13520,392,378274.5403,65518
20-Nov,texas,304308,62778,28208,3644,459670.2636,116256
20-Nov,louisiana,250450,10718,3272,172,348584.7837,18031
20-Nov,washington,509500,8885,5688,764,743700.0736,24943
20-Nov,south carolina,284945,16364,6040,1224,450918.2458,30532
20-Nov,north carolina,341484,21495,9892,1308,478441.8435,44925
20-Nov,georgia,325000,36012,17208,2284,464281.2266,73320
20-Nov,oregon,475000,6809,3852,1856,642530.375,17490
20-Nov,oklahoma,224574,8315,3632,164,316273.752,15608
20-Nov,pennsylvania,263522,22852,9520,496,390710.3473,45253
20-Nov,utah,533400,4622,2628,272,1059093.876,13999
20-Nov,ohio,191900,16890,8836,492,286273.8341,38027
20-Nov,alaska,299250,1804,460,20,378473.8108,1929
20-Nov,colorado,512786,13175,6124,624,1086641.826,27121
20-Nov,kansas,199500,5157,2216,116,301271.3725,10634
20-Nov,connecticut,379950,14184,4096,144,816287.7116,14387
20-Nov,virginia,352128,17864,9028,1004,539378.9574,34839
20-Nov,massachusetts,624950,11437,5880,220,1097814.812,20316
20-Nov,alabama,249950,12660,4768,644,341737.7212,19001
20-Nov,nevada,350000,9290,3688,368,616186.3203,11254
20-Nov,idaho,433969.5,2610,1496,288,825094.247,7378
20-Nov,tennessee,318450,13145,6728,584,469559.4708,26709
20-Nov,district of columbia,599900,1927,912,16,924018.1833,3093
20-Nov,missouri,219950,13037,5660,316,317682.9703,26571
20-Nov,west virginia,169000,4273,1200,40,247594.3642,6987
20-Nov,montana,397500,3014,740,44,816813.3943,6116
20-Nov,rhode island,387000,1695,1144,12,723393.7956,4495
20-Oct,new mexico,284800,4998,1988,84,451644.7806,8949
20-Oct,texas,309248,66220,30076,4996,460389.6424,122265
